AccountId,RecordTypeId,Name,StageName,CloseDate,Activity__c,Offer__c,CurrencyIsoCode,ChannelType__c
001IV000015S9GIYA0,012IV000001jKlBYAU,VERALLIA France - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S4lDYAS,012IV000001jKlBYAU,EUROPE SNACKS - (FRANDEX) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S865YAC,012IV000001jKlBYAU,SIGVARIS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8jHYAS,012IV000001jKlBYAU,SOMFY GROUPE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S869YAC,012IV000001jKlBYAU,LFB FRANCE (ex LENNOX ex LGL) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDoYAK,012IV000001jKlBYAU,MW FRANCE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RyDrYAK,012IV000001jKlBYAU,SAINT JEAN SAS - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S860YAC,012IV000001jKlBYAU,SATEBA sa - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S8jGYAS,012IV000001jKlBYAU,HEXCEL - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015RewMYAS,012IV000001jKlBYAU,BLANCHON (GROUPE) - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015Rew8YAC,012IV000001jKlBYAU,DOKA FRANCE - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
001IV000015S2SVYA0,012IV000001jKlBYAU,GROUPE DIFFUSION PLUS sas - C&S - 2026,Closed - Won,2026-01-01,Pixid FR,Pack C&S,EUR,Direct
