Id,NetsuiteId__c,Status__c
a04IV00000rHNPzYAO,19750,Paid In Full
a04IV00000rHNQ1YAO,19753,Paid In Full
a04IV00000rHNQ2YAO,19760,Paid In Full
a04IV00000rHNQ4YAO,19763,Paid In Full
a04IV00000rHNQ5YAO,19765,Paid In Full
a04IV00000rHNQ7YAO,19773,Paid In Full
a04IV00000rHNQ8YAO,19776,Paid In Full
a04IV00000rHNQAYA4,19779,Paid In Full
a04IV00000rHNQBYA4,19783,Paid In Full
a04IV00000rHNQCYA4,19791,Paid In Full
a04IV00000rHNQDYA4,19801,Paid In Full
a04IV00000rHNQEYA4,19809,Paid In Full
a04IV00000rHNQFYA4,19811,Paid In Full
a04IV00000rHNQGYA4,19813,Paid In Full
a04IV00000rHNQHYA4,19818,Paid In Full
a04IV00000rHNPyYAO,19821,Paid In Full
a04IV00000rHNQIYA4,19825,Paid In Full
a04IV00000rHNQJYA4,19832,Paid In Full
a04IV00000rHNQLYA4,19845,Paid In Full
a04IV00000rHNQNYA4,19849,Paid In Full
a04IV00000rHNQOYA4,19852,Paid In Full
a04IV00000rHNQPYA4,19855,Paid In Full
a04IV00000rHNQSYA4,19858,Paid In Full
a04IV00000rHNQUYA4,19861,Paid In Full
a04IV00000rHNQVYA4,19863,Paid In Full
a04IV00000rHNQWYA4,19865,Paid In Full
a04IV00000rHNQYYA4,19869,Paid In Full
a04IV00000rHNQZYA4,19908,Paid In Full
a04IV00000rHNQaYAO,19915,Paid In Full
a04IV00000rHNQbYAO,19918,Paid In Full
a04IV00000rHNQ0YAO,19920,Paid In Full
a04IV00000rHNQcYAO,19928,Paid In Full
a04IV00000rHNQdYAO,19939,Paid In Full
a04IV00000rHNQgYAO,19941,Paid In Full
a04IV00000rHNQ9YAO,19943,Paid In Full
a04IV00000rHNQhYAO,19948,Paid In Full
a04IV00000rHNQTYA4,19951,Paid In Full
a04IV00000rHNPqYAO,19954,Paid In Full
a04IV00000rHNQiYAO,19957,Paid In Full
a04IV00000rHNQjYAO,19960,Paid In Full
a04IV00000rHNQkYAO,19962,Paid In Full
a04IV00000rHNQXYA4,19966,Paid In Full
a04IV00000rHNQmYAO,19970,Paid In Full
a04IV00000rHNQ6YAO,19977,Paid In Full
a04IV00000rHNQqYAO,19984,Paid In Full
a04IV00000rHNQMYA4,19994,Paid In Full
a04IV00000rHNQsYAO,19998,Paid In Full
a04IV00000rHNQtYAO,20000,Paid In Full
a04IV00000rHNQnYAO,20011,Paid In Full
a04IV00000rHNQuYAO,20014,Paid In Full
a04IV00000rHNQvYAO,20017,Paid In Full
a04IV00000rHNQoYAO,20019,Paid In Full
a04IV00000rHNQwYAO,20027,Paid In Full
a04IV00000rHNQxYAO,20030,Paid In Full
a04IV00000rHNQyYAO,20032,Paid In Full
a04IV00000rHNQzYAO,20041,Paid In Full
a04IV00000rHNPkYAO,20052,Paid In Full
a04IV00000rHNR0YAO,20054,Paid In Full
a04IV00000rHNR1YAO,20070,Paid In Full
a04IV00000rHNR2YAO,20075,Paid In Full
a04IV00000rHNR3YAO,20085,Paid In Full
a04IV00000rHNR5YAO,20103,Paid In Full
a04IV00000rHNR6YAO,20110,Paid In Full
a04IV00000rHNQlYAO,20118,Paid In Full
a04IV00000rHNR7YAO,20120,Paid In Full
a04IV00000rHNR8YAO,20123,Paid In Full
a04IV00000rHNR9YAO,20126,Paid In Full
a04IV00000rHNRAYA4,20128,Paid In Full
a04IV00000rHNRBYA4,20131,Paid In Full
a04IV00000rHNRCYA4,20145,Paid In Full
a04IV00000rHNPoYAO,20150,Paid In Full
a04IV00000rHNRDYA4,20157,Paid In Full
a04IV00000rHNREYA4,20161,Paid In Full
a04IV00000rHNRFYA4,20163,Paid In Full
a04IV00000rHNRRYA4,20169,Paid In Full
a04IV00000rHNRTYA4,20178,Paid In Full
a04IV00000rHNRUYA4,20190,Paid In Full
a04IV00000rHNRVYA4,20204,Paid In Full
a04IV00000rHNRSYA4,20207,Paid In Full
a04IV00000rHNQeYAO,20216,Paid In Full
a04IV00000rHNPnYAO,20221,Paid In Full
a04IV00000rHNRWYA4,20223,Paid In Full
a04IV00000rHNRXYA4,20226,Paid In Full
a04IV00000rHNRYYA4,20233,Paid In Full
a04IV00000rHNRZYA4,20248,Paid In Full
a04IV00000rHNRaYAO,20264,Paid In Full
a04IV00000rHNRbYAO,20275,Paid In Full
a04IV00000rHNRcYAO,20278,Paid In Full
a04IV00000rHNRdYAO,20282,Paid In Full
a04IV00000rHNReYAO,20293,Paid In Full
a04IV00000rHNRfYAO,20297,Paid In Full
a04IV00000rHNQ3YAO,20301,Paid In Full
a04IV00000rHNRhYAO,20304,Paid In Full
